"timestamp","game_id","player_id","player_type","player_color","current_turn","action","action_status","displayed_score","wagons_cards_hand_count","destination_cards_hand_count","calculated_current_destination_score"
"343310682307000","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","602263e7-c5a2-42de-b98f-74da93a79f3e","EASY_BOT","BLUE","29","PICK_WAGON_CARD","YES","26","4","4","-40"
"343310682477800","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","a976cd1f-ec60-4c49-880e-42c289c7cb9d","EASY_BOT","RED","29","PICK_WAGON_CARD","YES","27","7","4","-45"
"343310682623300","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","49bc14b8-ddba-46d3-9bf2-3ad8696f107f","MEDIUM_BOT","GREEN","29","CLAIM_ROUTE","YES","48","7","4","-44"
"343310683243700","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","602263e7-c5a2-42de-b98f-74da93a79f3e","EASY_BOT","BLUE","30","CLAIM_ROUTE","YES","26","2","4","-40"
"343310684586800","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","a976cd1f-ec60-4c49-880e-42c289c7cb9d","EASY_BOT","RED","30","PLACE_STATION","YES","27","5","4","-45"
"343310684714700","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","49bc14b8-ddba-46d3-9bf2-3ad8696f107f","MEDIUM_BOT","GREEN","30","PICK_WAGON_CARD","YES","52","9","4","-44"
"343310684924900","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","602263e7-c5a2-42de-b98f-74da93a79f3e","EASY_BOT","BLUE","31","PICK_WAGON_CARD","YES","28","4","4","-40"
"343310685050500","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","a976cd1f-ec60-4c49-880e-42c289c7cb9d","EASY_BOT","RED","31","PICK_WAGON_CARD","YES","27","7","4","-45"
"343310685117500","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","49bc14b8-ddba-46d3-9bf2-3ad8696f107f","MEDIUM_BOT","GREEN","31","PICK_WAGON_CARD","YES","52","11","4","-44"
"343310685316500","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","602263e7-c5a2-42de-b98f-74da93a79f3e","EASY_BOT","BLUE","32","PICK_WAGON_CARD","YES","28","6","4","-40"
"343310685584800","eb2b176e-7cd6-4fbf-96c9-70ef683c97b7","a976cd1f-ec60-4c49-880e-42c289c7cb9d","EASY_BOT","RED","32","PLACE_STATION","YES","27","4","4","-45"
